legacy_factor_code,legacy_family,legacy_factor_name,v5_disposition,target_phase,mapping_note
I11,I_MODEL_INTERACTIONS,Minimal-factor model development,DEFER_INTERACTION,9I,Interaction/model-development factors are intentionally deferred until individual-factor evidence exists.
I12,I_MODEL_INTERACTIONS,Complexity vs V4 baseline improvement,DEFER_INTERACTION,9I,Interaction/model-development factors are intentionally deferred until individual-factor evidence exists.
I13,I_MODEL_INTERACTIONS,Signal-frequency cost of added filters,DEFER_INTERACTION,9I,Interaction/model-development factors are intentionally deferred until individual-factor evidence exists.
J01,J_ROBUSTNESS,Discovery vs holdout datasets,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J02,J_ROBUSTNESS,Older vs newer periods,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J03,J_ROBUSTNESS,Bull vs Bear robustness,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J04,J_ROBUSTNESS,Market-regime robustness,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J05,J_ROBUSTNESS,Volatility-regime robustness,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J06,J_ROBUSTNESS,Cross-symbol robustness,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J07,J_ROBUSTNESS,Cross-stock-set robustness,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J08,J_ROBUSTNESS,Across-year robustness,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J09,J_ROBUSTNESS,Threshold sensitivity,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J10,J_ROBUSTNESS,Nearby-parameter stability,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J11,J_ROBUSTNESS,Original 16 vs 112-stock universe,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J12,J_ROBUSTNESS,Frozen candidate out-of-sample test,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J13,J_ROBUSTNESS,Forward validation,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
J14,J_ROBUSTNESS,Optimized candidate vs frozen V4 baseline,PROTOCOL_GUARDRAIL,9H/9M/9O,Retain as methodology/validation guardrail rather than ordinary predictive factor.
